时间 (s),薄膜厚度 (m),温度 (K)
2.8800000000000012,0.00035625,351.72540934144615
2.9000000000000012,0.00035625,351.7972461470224
2.9200000000000013,0.00035625,351.84763239683804
2.9400000000000013,0.00035625,351.8798876049253
2.9600000000000013,0.00035625,351.896905314478
2.9800000000000013,0.00035625,351.90114431193325
3.0000000000000013,0.00035625,351.89469343206696
3.0200000000000014,0.00035625,351.8793256189072
3.0400000000000014,0.00035625,351.8565317079349
3.0600000000000014,0.00035625,351.8275726907315
3.0800000000000014,0.00035625,351.7935121951794
3.1000000000000014,0.00035625,351.75525287140044
3.1200000000000014,0.00035625,351.71355915774967
3.1400000000000015,0.00035625,351.66907549561535
3.1600000000000015,0.00035625,351.622346349031
3.1800000000000015,0.00035625,351.5738297324117
3.200000000000001,0.00035625,351.5239114940125
3.2200000000000015,0.00035625,351.47291546272817
3.240000000000001,0.00035625,351.42111336627545
3.2600000000000016,0.00035625,351.36873251592925
3.280000000000001,0.00035625,351.31596260626264
3.3000000000000016,0.00035625,351.2629615121009
3.320000000000001,0.00035625,351.20986003334497
3.3400000000000016,0.00035625,351.1567661375756
3.360000000000001,0.00035625,351.10376841106614
3.3800000000000017,0.00035625,351.05093904189226
3.4000000000000012,0.00035625,350.9983364327795
3.4200000000000017,0.00035625,350.9460072253522
3.4400000000000013,0.00035625,350.89398832260235
3.4600000000000017,0.00035625,350.84230822834013
3.4800000000000013,0.00035625,350.7909886193809
3.5000000000000018,0.00035625,350.7400452175216
3.5200000000000014,0.00035625,350.6894890064022
3.5400000000000014,0.00035625,350.6393267897597
3.5600000000000014,0.00035625,350.58956213053773
3.5800000000000014,0.00035625,350.54019569546693
3.6000000000000014,0.00035625,350.4912259843517
3.6200000000000014,0.00035625,350.44264952295777
3.6400000000000015,0.00035625,350.39446144063953
3.6600000000000015,0.00035625,350.3466555498163
3.6800000000000015,0.00035625,350.2992248189008
3.7000000000000015,0.00035625,350.25216136333614
3.7200000000000015,0.00035625,350.20545684931255
3.7400000000000015,0.00035625,350.1591024143487
3.7600000000000016,0.00035625,350.1130890269238
3.7800000000000016,0.00035625,350.0674073509182
3.8000000000000016,0.00035625,350.022048077882
3.8200000000000016,0.00035625,349.9770017473873
3.8400000000000016,0.00035625,349.9322590624725
3.8600000000000017,0.00035625,349.8878106761598
3.8800000000000017,0.00035625,349.8436474964031
3.9000000000000017,0.00035625,349.799760447326
3.9200000000000017,0.00035625,349.75614076738236
3.9400000000000017,0.00035625,349.7127797521871
3.9600000000000017,0.00035625,349.6696690480919
3.9800000000000018,0.00035625,349.6268003819241
4.000000000000002,0.00035625,349.5841658513522
2.700000000000001,0.000375,348.5216796173392
2.720000000000001,0.000375,348.84022702840576
2.740000000000001,0.000375,349.1519415640265
2.760000000000001,0.000375,349.4537500707618
2.780000000000001,0.000375,349.7386451324144
2.800000000000001,0.000375,349.99762566725235
2.820000000000001,0.000375,350.22444563228396
2.840000000000001,0.000375,350.4179402771563
2.860000000000001,0.000375,350.58014302465574
2.8800000000000012,0.000375,350.7140486586682
2.9000000000000012,0.000375,350.82294795025024
2.9200000000000013,0.000375,350.9100958158463
2.9400000000000013,0.000375,350.9784481070738
2.9600000000000013,0.000375,351.0306508632901
2.9800000000000013,0.000375,351.0690243744081
3.0000000000000013,0.000375,351.0955757241843
3.0200000000000014,0.000375,351.1120404454403
3.0400000000000014,0.000375,351.1199035059348
3.0600000000000014,0.000375,351.12043627811124
3.0800000000000014,0.000375,351.1147260462682
3.1000000000000014,0.000375,351.10370334225087
3.1200000000000014,0.000375,351.0881656834204
3.1400000000000015,0.000375,351.0687939785746
3.1600000000000015,0.000375,351.0461700309618
3.1800000000000015,0.000375,351.0207902322206
3.200000000000001,0.000375,350.9930779636156
3.2200000000000015,0.000375,350.96339434989744
3.240000000000001,0.000375,350.9320469995623
3.2600000000000016,0.000375,350.8992982120373
3.280000000000001,0.000375,350.86537119394336
3.3000000000000016,0.000375,350.83045615853615
3.320000000000001,0.000375,350.794714839553
3.3400000000000016,0.000375,350.7582849336204
3.360000000000001,0.000375,350.721283417684
3.3800000000000017,0.000375,350.6838097697762
3.4000000000000012,0.000375,350.64594839203176
3.4200000000000017,0.000375,350.60777097410175
3.4400000000000013,0.000375,350.56933822383934
3.4600000000000017,0.000375,350.53070164195486
3.4800000000000013,0.000375,350.491904717208
3.5000000000000018,0.000375,350.4529842941949
3.5200000000000014,0.000375,350.4139713631756
3.5400000000000014,0.000375,350.3748921394644
3.5600000000000014,0.000375,350.3357685545238
3.5800000000000014,0.000375,350.29661912479264
3.6000000000000014,0.000375,350.25745922746995
3.6200000000000014,0.000375,350.2183018124441
3.6400000000000015,0.000375,350.1791575247421
3.6600000000000015,0.000375,350.1400352989605
3.6800000000000015,0.000375,350.100942372414
3.7000000000000015,0.000375,350.0618847924325
3.7200000000000015,0.000375,350.02286735050336
3.7400000000000015,0.000375,349.98389402632034
3.7600000000000016,0.000375,349.9449678634887
3.7800000000000016,0.000375,349.9060913689348
3.8000000000000016,0.000375,349.86726634428817
3.8200000000000016,0.000375,349.8284942548031
3.8400000000000016,0.000375,349.78977602637855
3.8600000000000017,0.000375,349.75111239439735
3.8800000000000017,0.000375,349.7125036737471
3.9000000000000017,0.000375,349.67395009489763
3.9200000000000017,0.000375,349.6354515526532
3.9400000000000017,0.000375,349.59700793438503
3.9600000000000017,0.000375,349.5586188521164
3.9800000000000018,0.000375,349.5202839660713
4.000000000000002,0.000375,349.48200270385
2.700000000000001,0.00039375000000000006,347.36074142511853
2.720000000000001,0.00039375000000000006,347.6857556315035
2.740000000000001,0.00039375000000000006,348.0045655872245
