时间 (s),薄膜厚度 (m),温度 (K)
5.8000000000000025,0.0005062500000000001,365.5061606387336
5.820000000000003,0.0005062500000000001,365.41373008146434
5.840000000000003,0.0005062500000000001,365.3230712929704
5.860000000000003,0.0005062500000000001,365.23411527088547
5.880000000000003,0.0005062500000000001,365.14679907984356
5.900000000000003,0.0005062500000000001,365.0610580940357
5.9200000000000035,0.0005062500000000001,364.97683448360726
5.940000000000003,0.0005062500000000001,364.8940677576423
5.960000000000003,0.0005062500000000001,364.81270490338903
5.980000000000003,0.0005062500000000001,364.7326893132981
6.0000000000000036,0.0005062500000000001,364.65397250088694
4.8000000000000025,0.0005250000000000001,373.24981642626904
4.820000000000002,0.0005250000000000001,373.4309234456089
4.8400000000000025,0.0005250000000000001,373.5666016247876
4.860000000000002,0.0005250000000000001,373.6064750440209
4.880000000000003,0.0005250000000000001,373.53701056637425
4.900000000000002,0.0005250000000000001,373.393837925356
4.920000000000003,0.0005250000000000001,373.208878182009
4.940000000000002,0.0005250000000000001,372.99507640112137
4.960000000000003,0.0005250000000000001,372.7640946351266
4.980000000000002,0.0005250000000000001,372.5234647580869
5.000000000000003,0.0005250000000000001,372.27734769370977
5.020000000000002,0.0005250000000000001,372.02963793020854
5.040000000000003,0.0005250000000000001,371.78224730055257
5.060000000000002,0.0005250000000000001,371.5369102078696
5.080000000000003,0.0005250000000000001,371.29476262786164
5.100000000000002,0.0005250000000000001,371.0565807362143
5.120000000000003,0.0005250000000000001,370.8230074247651
5.140000000000002,0.0005250000000000001,370.594333410415
5.160000000000003,0.0005250000000000001,370.3708687862329
5.180000000000002,0.0005250000000000001,370.1527088270377
5.200000000000003,0.0005250000000000001,369.939941805399
5.220000000000002,0.0005250000000000001,369.7325764629195
5.240000000000003,0.0005250000000000001,369.53056963490997
5.2600000000000025,0.0005250000000000001,369.3338806126672
5.280000000000003,0.0005250000000000001,369.1423973484837
5.3000000000000025,0.0005250000000000001,368.956044578644
5.320000000000003,0.0005250000000000001,368.77467911656925
5.3400000000000025,0.0005250000000000001,368.59820083682513
5.360000000000003,0.0005250000000000001,368.42645565936886
5.380000000000003,0.0005250000000000001,368.25932730488887
5.400000000000003,0.0005250000000000001,368.096660401187
5.420000000000003,0.0005250000000000001,367.9383304550516
5.440000000000003,0.0005250000000000001,367.7841846821507
5.460000000000003,0.0005250000000000001,367.6340970174327
5.480000000000003,0.0005250000000000001,367.48791846123936
5.500000000000003,0.0005250000000000001,367.3455264007817
5.520000000000003,0.0005250000000000001,367.2067757888508
5.540000000000003,0.0005250000000000001,367.07155088508165
5.560000000000003,0.0005250000000000001,366.93971051398256
5.580000000000003,0.0005250000000000001,366.81114785932647
5.600000000000003,0.0005250000000000001,366.68572557992246
5.620000000000003,0.0005250000000000001,366.5633467910263
5.640000000000003,0.0005250000000000001,366.44387804490344
5.660000000000003,0.0005250000000000001,366.3272326715181
5.680000000000003,0.0005250000000000001,366.2132812321903
5.700000000000003,0.0005250000000000001,366.1019470990929
5.720000000000003,0.0005250000000000001,365.9931049558275
5.740000000000003,0.0005250000000000001,365.88668778932146
5.760000000000003,0.0005250000000000001,365.78257447101055
5.780000000000003,0.0005250000000000001,365.68070705613707
5.8000000000000025,0.0005250000000000001,365.58096859909557
5.820000000000003,0.0005250000000000001,365.4833096408687
5.840000000000003,0.0005250000000000001,365.3876173411976
5.860000000000003,0.0005250000000000001,365.2938501518122
5.880000000000003,0.0005250000000000001,365.2018991994695
5.900000000000003,0.0005250000000000001,365.11173029684454
5.9200000000000035,0.0005250000000000001,365.0232383583762
5.940000000000003,0.0005250000000000001,364.93639603512264
5.960000000000003,0.0005250000000000001,364.851101830854
5.980000000000003,0.0005250000000000001,364.76733473392125
6.0000000000000036,0.0005250000000000001,364.68499664048255
4.8000000000000025,0.0005437500000000001,374.53135997361676
4.820000000000002,0.0005437500000000001,374.6951008880817
4.8400000000000025,0.0005437500000000001,374.7904379059591
4.860000000000002,0.0005437500000000001,374.75574413014834
4.880000000000003,0.0005437500000000001,374.597478934205
4.900000000000002,0.0005437500000000001,374.3740079197405
4.920000000000003,0.0005437500000000001,374.1167887918114
4.940000000000002,0.0005437500000000001,373.8370346104499
4.960000000000003,0.0005437500000000001,373.54779360230395
4.980000000000002,0.0005437500000000001,373.2543450098827
5.000000000000003,0.0005437500000000001,372.9606409438099
5.020000000000002,0.0005437500000000001,372.6698368585947
5.040000000000003,0.0005437500000000001,372.3829909232397
5.060000000000002,0.0005437500000000001,372.1016603694003
5.080000000000003,0.0005437500000000001,371.8263079396428
5.100000000000002,0.0005437500000000001,371.55756635249656
5.120000000000003,0.0005437500000000001,371.29565736509545
5.140000000000002,0.0005437500000000001,371.040659530507
5.160000000000003,0.0005437500000000001,370.79268303857356
5.180000000000002,0.0005437500000000001,370.5515824577595
5.200000000000003,0.0005437500000000001,370.3173583282728
5.220000000000002,0.0005437500000000001,370.0898049470195
5.240000000000003,0.0005437500000000001,369.86882919905753
5.2600000000000025,0.0005437500000000001,369.65422623705695
5.280000000000003,0.0005437500000000001,369.44583880332095
5.3000000000000025,0.0005437500000000001,369.2434771301003
5.320000000000003,0.0005437500000000001,369.04694965609815
5.3400000000000025,0.0005437500000000001,368.8560792978194
5.360000000000003,0.0005437500000000001,368.6706634606907
5.380000000000003,0.0005437500000000001,368.49053218850025
5.400000000000003,0.0005437500000000001,368.31548711789503
5.420000000000003,0.0005437500000000001,368.14536140474524
5.440000000000003,0.0005437500000000001,367.9799693922744
